Date,Day,Open,High,Low,Close,Change,Range,Type
2024-06-19,Wednesday,2329.01,2335.03,2323.78,2328.23,-0.78,11.25,bearish
2024-06-18,Tuesday,2320.3,2333.17,2306.65,2329.58,9.28,26.51,bullish
2024-06-17,Monday,2332.65,2332.65,2310.02,2319.29,-13.36,22.63,bearish
2024-06-14,Friday,2304.14,2336.73,2301.61,2332.65,28.51,35.12,bullish
2024-06-13,Thursday,2325.03,2326.8,2295.59,2304.14,-20.89,31.2,bearish
2024-06-12,Wednesday,2316.91,2341.7,2310.75,2325.03,8.13,30.95,bullish
2024-06-11,Tuesday,2311,2320,2297.8,2316.91,5.91,22.2,bullish
2024-06-10,Monday,2294.02,2313.86,2287.8,2311,16.98,26.06,bullish
2024-06-07,Friday,2376.09,2387.79,2286.83,2294.02,-82.08,100.95,bearish
2024-06-06,Thursday,2355.28,2378.6,2353.5,2376.09,20.81,25.1,bullish
2024-06-05,Wednesday,2327.01,2357.43,2325.97,2355.28,28.27,31.46,bullish
2024-06-04,Tuesday,2350.64,2352.89,2315.68,2327.01,-23.62,37.21,bearish
2024-06-03,Monday,2327.2,2354.77,2314.8,2350.64,23.44,39.97,bullish
2024-05-31,Friday,2343.34,2359.73,2320.59,2327.2,-16.14,39.13,bearish
2024-05-30,Thursday,2338.15,2351.91,2322.66,2343.34,5.2,29.25,bullish
2024-05-29,Wednesday,2361.39,2361.61,2334.54,2338.15,-23.24,27.07,bearish
2024-05-28,Tuesday,2351.38,2364.18,2340.31,2361.39,10.01,23.87,bullish
2024-05-27,Monday,2334,2358.57,2332.29,2351.38,17.38,26.28,bullish
2024-05-24,Friday,2328.68,2347.54,2325.47,2334,5.32,22.07,bullish
2024-05-23,Thursday,2379.18,2383.79,2327.02,2328.68,-50.5,56.76,bearish
2024-05-22,Wednesday,2421.03,2426.61,2375,2379.18,-41.85,51.62,bearish
2024-05-21,Tuesday,2426.53,2434,2406.16,2421.03,-5.51,27.84,bearish
2024-05-20,Monday,2414.72,2450.13,2407.34,2426.53,11.82,42.78,bullish
2024-05-17,Friday,2376.96,2422.79,2374.02,2414.72,37.76,48.77,bullish
2024-05-16,Thursday,2386.13,2397.52,2371.01,2376.96,-9.18,26.5,bearish
2024-05-15,Wednesday,2357.98,2390.32,2351.92,2386.13,28.15,38.4,bullish
2024-05-14,Tuesday,2336.14,2359.71,2334.89,2357.98,21.84,24.82,bullish
2024-05-13,Monday,2360.52,2364.55,2332.11,2336.14,-24.37,32.44,bearish
2024-05-10,Friday,2346.25,2378.56,2345.32,2360.52,14.27,33.24,bullish
2024-05-09,Thursday,2308.69,2347.25,2306.66,2346.25,37.55,40.59,bullish
2024-05-08,Wednesday,2314.14,2321.53,2303.75,2308.69,-5.45,17.79,bearish
2024-05-07,Tuesday,2324,2329.98,2310.04,2314.14,-9.86,19.94,bearish
2024-05-06,Monday,2301.81,2332.23,2291.85,2324,22.18,40.38,bullish
2024-05-03,Friday,2303.8,2320.71,2277.34,2301.81,-1.99,43.36,bearish
2024-05-02,Thursday,2319.56,2326.52,2285.55,2303.8,-15.76,40.97,bearish
2024-05-01,Wednesday,2286.21,2328.43,2281.68,2319.56,33.35,46.75,bullish
2024-04-30,Tuesday,2335.55,2336.41,2285.22,2286.21,-49.34,51.19,bearish
